model_type,hidden_size,pooling,optimizer,epochs,final_train_loss,final_train_acc,final_val_loss,final_val_acc
HiddenMarkov,64,max,Adam,100,0.12095867186784744,0.9825,0.6090560615062713,0.69
HiddenMarkov,64,max,Adam,250,0.08628276750445366,0.99375,0.5845596599578857,0.73
HiddenMarkov,64,max,Adam,350,0.10011629328131676,0.9875,0.5792594480514527,0.755
HiddenMarkov,64,avg,SGD,5,0.6927071642875672,0.51,0.6946367597579957,0.46
HiddenMarkov,64,avg,SGD,50,0.6928862857818604,0.52125,0.6928672790527344,0.55
HiddenMarkov,64,avg,SGD,100,0.6932905149459839,0.515,0.6941477537155152,0.465
HiddenMarkov,64,avg,SGD,250,0.691556282043457,0.52,0.6954412078857422,0.455
HiddenMarkov,64,avg,SGD,350,0.692277193069458,0.51,0.6963575792312622,0.455
HiddenMarkov,64,avg,RMSProp,5,0.3505326509475708,0.875,0.6243634843826293,0.66
HiddenMarkov,64,avg,RMSProp,50,0.25972088277339933,0.92375,0.6683793044090272,0.66
HiddenMarkov,64,avg,RMSProp,100,0.29379734814167024,0.89625,0.6938944768905639,0.645
HiddenMarkov,64,avg,RMSProp,250,0.324734867811203,0.88125,0.7046092832088471,0.63
HiddenMarkov,64,avg,RMSProp,350,0.19993710726499558,0.94,0.6877568078041076,0.695
HiddenMarkov,64,avg,Adam,5,0.4714726734161377,0.82,0.640427782535553,0.625
HiddenMarkov,64,avg,Adam,50,0.17262054085731507,0.96125,0.6549649357795715,0.69
HiddenMarkov,64,avg,Adam,100,0.14565336287021638,0.965,0.6463756132125854,0.705
HiddenMarkov,64,avg,Adam,250,0.2889427888393402,0.90375,0.6702380061149598,0.62
HiddenMarkov,64,avg,Adam,350,0.20590551555156708,0.945,0.6992048299312592,0.665
HiddenMarkov,128,max,SGD,5,0.6815822577476501,0.54,0.6975749921798706,0.465
HiddenMarkov,128,max,SGD,50,0.4126282596588135,0.8875,0.602565324306488,0.635
HiddenMarkov,128,max,SGD,100,0.37900399208068847,0.9175,0.5734724736213684,0.72
HiddenMarkov,128,max,SGD,250,0.19862697243690491,0.99,0.5468457770347596,0.73
HiddenMarkov,128,max,SGD,350,0.28696058452129364,0.94125,0.5908486092090607,0.685
HiddenMarkov,128,max,RMSProp,5,0.16246531248092652,0.98375,0.5743215656280518,0.695
HiddenMarkov,128,max,RMSProp,50,0.05077353209257126,1.0,0.5587863922119141,0.74
HiddenMarkov,128,max,RMSProp,100,0.057700474858283994,0.9975,0.6816324543952942,0.74
HiddenMarkov,128,max,RMSProp,250,0.05544330641627312,0.995,0.5637185645103454,0.735
HiddenMarkov,128,max,RMSProp,350,0.07249749287962913,0.9975,0.7128733325004578,0.74
HiddenMarkov,128,max,Adam,5,0.289806587100029,0.95125,0.5800126326084137,0.715
HiddenMarkov,128,max,Adam,50,0.03529887616634369,0.99625,0.6070836079120636,0.795
HiddenMarkov,128,max,Adam,100,0.066443882137537,0.99375,0.6010341691970825,0.725
HiddenMarkov,128,max,Adam,250,0.05790647476911545,0.9975,0.5815626168251038,0.775
HiddenMarkov,128,max,Adam,350,0.09716228991746903,0.99625,0.6715107631683349,0.705
HiddenMarkov,128,avg,SGD,5,0.6928671646118164,0.52875,0.6960087919235229,0.43
HiddenMarkov,128,avg,SGD,50,0.6920164608955384,0.52625,0.6942348074913025,0.465
HiddenMarkov,128,avg,SGD,100,0.693544692993164,0.49,0.6914948630332947,0.515
HiddenMarkov,128,avg,SGD,250,0.6920768570899963,0.53125,0.6941128158569336,0.455
HiddenMarkov,128,avg,SGD,350,0.6916062116622925,0.51125,0.6943633842468262,0.455
HiddenMarkov,128,avg,RMSProp,5,0.2866552776098251,0.8975,0.7575084781646728,0.66
HiddenMarkov,128,avg,RMSProp,50,0.2244727385044098,0.91625,0.6958147144317627,0.655
HiddenMarkov,128,avg,RMSProp,100,0.15965630024671554,0.945,0.6654091143608093,0.685
HiddenMarkov,128,avg,RMSProp,250,0.2777491569519043,0.89625,0.7308459138870239,0.675
HiddenMarkov,128,avg,RMSProp,350,0.29534112095832826,0.885,0.7503952622413635,0.655
HiddenMarkov,128,avg,Adam,5,0.4202093029022217,0.81,0.6438730669021606,0.65
HiddenMarkov,128,avg,Adam,50,0.21008116364479065,0.94875,0.6976490998268128,0.65
HiddenMarkov,128,avg,Adam,100,0.3529388046264648,0.86,0.6873527479171753,0.615
HiddenMarkov,128,avg,Adam,250,0.23262065172195434,0.92375,0.6783211016654969,0.68
HiddenMarkov,128,avg,Adam,350,0.30727137744426725,0.89125,0.6838368368148804,0.665
